"Organism","Limb_width","Limb_length","Observer","Volume"
"Danaus plexippus",2.33870124410526,2.96829778981276,"Alexandra",12.7446120167467
"Cirsium vulgare",1.67675077741628,5.89017395411292,"Mark",12.9997443140425
"Betula papyrifera",1.71082440430141,5.47323493164388,"Mark",12.5754814287291
"Cirsium vulgare",2.02407039490418,5.47014792545826,"Alexandra",17.592191867917
"Vulpes vulpes",2.50154411875915,6.32641072480306,"Alexandra",31.0773067227687
"Danaus plexippus",1.2632218095076,4.65043182335029,"Mark",5.82535194584611
"Betula papyrifera",1.22224204686918,9.86013855205613,"Kyle",11.5629091740848
"Danaus plexippus",1.69939675197427,6.71118516313459,"Alexandra",15.2145266664609
"Danaus plexippus",1.87797612853067,9.22696666108729,"Mark",25.5451668247724
"Betula papyrifera",2.56134602270325,5.80475334430608,"Alexandra",29.8944063319032
"Cardinalis cardinalis",2.41674210311939,4.61683036319113,"Mark",21.1677252852903
"Vulpes vulpes",2.63443742492362,2.43663922641572,"Alexandra",13.2750652037148
"Betula papyrifera",2.0867723259625,8.27304245462155,"Mark",28.2803673847397
"Danaus plexippus",2.77472951314605,6.56900072266095,"Mark",39.7018069645153
"Vulpes vulpes",2.02808579969093,2.32290469641936,"Alexandra",7.50021472712783
"Danaus plexippus",1.74104988036711,5.51170777696025,"Kyle",13.1153011706984
"Vulpes vulpes",1.90236275382738,6.79934502379814,"Kyle",19.3162761201708
"Vulpes vulpes",2.15151071544928,5.4948837469763,"Kyle",19.9671091590806
"Betula papyrifera",1.84902680181522,8.44903783183552,"Alexandra",22.6758368779447
"Danaus plexippus",1.55356422329154,4.95366000563375,"Mark",9.38543216345492
"Danaus plexippus",1.72919153327715,7.06878622947279,"Alexandra",16.5920751359613
